"Scenario","Strategy","ReserveSize","Iteration","AvDensity","LogRatCorals","WVTraitSp1","WVTraitSp2","Ext1","Ext2","ExtBoth","V","D"
1,1,0,1,0.0107638818320166,-0.002779307386287,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,1,0.1,1,0.0107638818320166,-0.002779307386287,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,1,0.2,1,0.0107638818320166,-0.002779307386287,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,1,0.3,1,0.0107638818320166,-0.002779307386287,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,1,0.5,1,0.0107638818320166,-0.002779307386287,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,2,0,1,0.0107638818320166,-5.22070786780938,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,2,0.1,1,0.999986478312546,-5.22070786780938,-0.920014002041597,-0.898244773015158,1,NA,NA,0,0
1,2,0.2,1,0.999998083136734,-5.22070786780938,-0.920020338827594,-0.898251398035708,1,NA,NA,0,0
1,2,0.3,1,1,-5.22070786780938,-0.9200218394509,-0.898252948721201,1,NA,NA,0,0
1,2,0.5,1,1,-5.22070786780938,-0.9200218394509,-0.898252948721201,1,NA,NA,0,0
1,3,0,1,0.0107638818320166,-5.22070786780938,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,3,0.1,1,0.999977651995206,-5.22070786780938,-0.920011789601215,-0.898242355434878,1,NA,NA,0,0
1,3,0.2,1,0.999986478312555,-5.22070786780938,-0.920014002041601,-0.898244773015168,1,NA,NA,0,0
1,3,0.3,1,0.99999322482003,-5.22070786780938,-0.920017154324047,-0.898248089991963,1,NA,NA,0,0
1,3,0.5,1,1,-5.22070786780938,-0.9200218394509,-0.898252948721201,1,NA,NA,0,0
1,4,0,1,0.0107638818320166,-5.22070073043516,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,4,0.1,1,0.0700203662783819,-5.22070073043516,-1.43540692677494,-1.14332381145575,1,434,434,0,0
1,4,0.2,1,0.998514718281254,-5.22070073043516,-0.919773543969487,-0.897970753304882,1,NA,NA,0,0
1,4,0.3,1,0.999991142981512,-5.22070073043516,-0.920018900685459,-0.89824980022496,1,NA,NA,0,0
1,4,0.5,1,0.999992901010659,-5.22070073043516,-0.920020262162911,-0.89825120753699,1,NA,NA,0,0
1,5,0,1,0.0107638818320166,-0.0040956490502088,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,5,0.1,1,0.0107638818320166,-0.0040956490502088,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,5,0.2,1,0.0107638818320166,-0.0040956490502088,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,5,0.3,1,0.0107638818320166,-0.0040956490502088,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,5,0.5,1,0.0107709808213576,-0.0040956490502088,-3.92615331162146,-2.9078013519592,1,321,321,0,0
1,6,0,1,0.0107638818320166,-5.15927802870519,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,6,0.1,1,0.939259833029908,-5.15927802870519,-0.915809214061056,-0.892600225120336,1,NA,NA,0,0
1,6,0.2,1,0.939261282682128,-5.15927802870519,-0.915809667728848,-0.892600717425768,1,NA,NA,0,0
1,6,0.3,1,0.939263642944176,-5.15927802870519,-0.915809803841356,-0.892600912978669,1,NA,NA,0,0
1,6,0.5,1,0.94073914028082,-5.15927802870519,-0.916076853075516,-0.892906107658565,1,NA,NA,0,0
1,7,0,1,0.0107638818320166,-0.244834590162465,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,7,0.1,1,0.0107638818320166,-0.244834590162465,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,7,0.2,1,0.0107638818320166,-0.244834590162465,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,7,0.3,1,0.0107679255453136,-0.244834590162465,-3.92695966136462,-2.90883433706927,1,321,321,0,0
1,7,0.5,1,0.0122398532430807,-0.244834590162465,-3.58517906372513,-2.51778052054699,1,385,385,0,0
1,8,0,1,0.0107638818320166,-0.00352933189458739,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,8,0.1,1,0.0107638818320166,-0.00352933189458739,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,8,0.2,1,0.0107638818320166,-0.00352933189458739,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,8,0.3,1,0.0107638818320166,-0.00352933189458739,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,8,0.5,1,0.0107679255453136,-0.00352933189458739,-3.92695966136462,-2.90883433706927,1,321,321,0,0
1,9,0,1,0.0107638818320166,-5.15927746639136,-3.92798937957453,-2.91012701017523,1,321,321,0,0
1,9,0.1,1,0.0107720537726298,-5.15927746639136,-3.92592089304148,-2.90753994216007,1,321,321,0,0
1,9,0.2,1,0.0107681927255262,-5.15927746639136,-3.92698116259953,-2.90892769589587,1,332,332,0,0
1,9,0.3,1,0.99851569397356,-5.15927746639136,-0.919772362293337,-0.897969586653726,1,NA,NA,0,0
1,9,0.5,1,0.940738614312474,-5.15927746639136,-0.916076035525819,-0.892905272382119,1,NA,NA,0,0
2,1,0,1,0.00293207080430137,1.39485854213732,0.447998011632226,0.25206540602446,270,NA,NA,0.1,0
